#,Player,Team,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,REB,AST,STL,BLK,TOV,PF
1,Tommy Bruner,DEN,34,"1,149.00",816,262,602,0.435,82,232,0.353,210,260,0.808,11,85,96,143,43,4,122,98
2,Zach Edey,PURD,33,"1,035.00",806,270,436,0.619,1,2,0.5,265,370,0.716,153,234,387,68,8,73,74,64
3,Tyler Thomas,HOF,33,"1,249.00",742,265,640,0.414,125,337,0.371,87,101,0.861,8,163,171,110,44,15,70,46
4,Jalen Blackmon,STET,34,"1,180.00",730,240,553,0.434,109,280,0.389,141,155,0.91,21,71,92,62,28,3,63,42
5,R.J. Davis,UNC,34,"1,186.00",726,241,559,0.431,106,261,0.406,138,158,0.873,18,110,128,119,41,7,51,59
6,Tucker DeVries,DRAKE,33,"1,167.00",720,239,534,0.448,86,236,0.364,156,191,0.817,21,205,226,119,53,11,84,55
7,Xavier Johnson,SOILL,32,"1,174.00",709,211,500,0.422,68,185,0.368,219,246,0.89,16,115,131,196,47,8,107,92
8,Riley Minix,MRHD,34,"1,144.00",706,263,482,0.546,54,159,0.34,126,151,0.834,103,230,333,77,45,35,80,76
9,David Jones,MEMP,32,"1,036.00",698,223,486,0.459,79,208,0.38,173,217,0.797,82,162,244,59,70,14,96,63
10,Jaedon LeDee,SDSU,33,"1,082.00",696,235,422,0.557,16,39,0.41,210,286,0.734,109,168,277,45,39,18,77,78
11,Jordan Sears,UTM,32,"1,080.00",692,227,525,0.432,76,176,0.432,162,193,0.839,18,130,148,144,41,6,102,61
12,Jordan Johnson,NEWOR,32,"1,149.00",683,210,543,0.387,81,238,0.34,182,221,0.824,10,91,101,122,48,6,77,72
13,Elijah Pepper,UCD,33,"1,090.00",682,216,520,0.415,101,272,0.371,149,162,0.92,21,131,152,70,56,9,62,50
14,Drew Pember,UNCA,33,"1,009.00",681,193,416,0.464,67,183,0.366,228,270,0.844,45,225,270,117,32,63,89,64
15,Mark Sears,UA,32,"1,056.00",676,211,419,0.504,75,174,0.431,179,208,0.861,27,101,128,131,53,3,79,61
16,Dalton Knecht,TENN,32,961,676,229,492,0.465,79,199,0.397,139,182,0.764,23,127,150,57,22,22,53,60
17,Vonterius Woolbright,WCU,32,"1,127.00",675,236,513,0.46,10,41,0.244,193,269,0.717,71,313,384,179,19,1,111,49
18,"Keion Brooks, Jr.",UWASH,32,"1,122.00",674,228,468,0.487,52,137,0.38,166,209,0.794,47,172,219,44,22,24,61,72
19,Xander Rice,MONM,33,"1,162.00",674,201,525,0.383,91,261,0.349,181,213,0.85,20,79,99,119,42,2,70,52
20,Marcus Hill,BGSU,33,"1,198.00",672,247,560,0.441,25,87,0.287,153,208,0.736,52,114,166,86,33,10,86,66
